éö	Unicode	èoåªêî	JISÉRÅ[Éh(7bit)
ÇÃ	306E	73163	9294
ÅA	3001	63201	8482
Ç¢	3044	53880	9252
ÇΩ	305F	44384	9279
Çƒ	3066	43872	9286
Ç…	306B	42713	9291
Ç∆	3068	39661	9288
Çµ	3057	38392	9271
Ç»	306A	37552	9290
ÅB	3002	35910	8483
ÇÕ	306F	34878	9295
ÇÈ	308B	32023	9323
Ç©	304B	30975	9259
Ç	3092	30932	9330
Ç¡	3063	30412	9283
Ç≈	3067	29059	9287
Ç™	304C	28562	9260
Ç§	3046	25657	9254
Ç‡	3082	24255	9314
ÇÁ	3089	22065	9321
ÇÍ	308C	20538	9324
Ç±	3053	19840	9267
Ç‹	307E	19403	9310
Ç†	3042	18168	9250
Å¨â¸çs	3013	17508	8750
ÇË	308A	17456	9322
Çª	305D	16456	9277
ÇÒ	3093	15314	9331
Ç∑	3059	14490	9273
Ç≠	304F	14049	9263
Çæ	3060	13793	9280
Å@	3000	12006	8481
ÇÊ	3088	10378	9320
Ç´	304D	9984	9261
Ç≥	3055	9689	9269
Ç®	304A	8628	9258
Ç¶	3048	8562	9256
ÇØ	3051	8451	9265
Ç¬	3064	8286	9284
Åu	300C	7758	8534
Åv	300D	7758	8535
êl	4EBA	7122	16205
Ç«	3069	6886	9289
ÇÌ	308F	6598	9327
àÍ	4E00	6048	12396
Çø	3061	5951	9281
ÇÎ	308D	5810	9325
Ç‚	3084	5711	9316
Çﬂ	3081	5480	9313
Çπ	305B	5254	9275
å©	898B	4828	14379
ÇŒ	3070	4804	9296
Ç÷	3078	4511	9304
èo	51FA	4235	15696
Åc	2026	4164	8516
Ç∂	3058	4068	9272
Ç∏	305A	3803	9274
Ç›	307F	3779	9311
óà	6765	3317	19816
Å\	2015	3112	8509
éO	4E09	3106	15152
év	601D	3064	15191
éû	6642	2996	15230
éñ	4E8B	2928	15222
åæ	8A00	2913	14400
ÇÀ	306D	2894	9293
éÑ	79C1	2859	15204
ì˙	65E5	2849	18044
é©	81EA	2823	15403
èó	5973	2792	15735
ï™	5206	2771	18988
è„	4E0A	2755	15973
ê∂	751F	2693	16440
íÜ	4E2D	2688	17254
ëÂ	5927	2683	16999
éq	5B50	2676	15186
çs	884C	2642	14676
ãC	6C17	2523	13604
éË	624B	2427	15466
ìÒ	4E8C	2404	18035
ÇŸ	307B	2317	9307
Ç≤	3054	2294	9268
Ç·	3083	2282	9315
ä‘	9593	2173	13398
ï˚	65B9	2109	19069
âΩ	4F55	2075	12863
òY	90CE	2067	20282
é“	8005	2046	15444
Éì	30F3	1929	9587
él	56DB	1927	15181
ëO	524D	1901	16688
Ç¥	3056	1897	9270
îﬁ	5F7C	1880	18528
Ç∞	3052	1872	9266
ÇÂ	3087	1858	9319
ñ{	672C	1837	19292
Å[	30FC	1831	8508
óß	7ACB	1829	20009
Ç–	3072	1796	9298
â∫	4E0B	1794	12860
Ç◊	3079	1788	9305
ÅX	3005	1727	8505
ím	77E5	1727	17230
êS	5FC3	1697	16180
ï®	7269	1648	18986
äw	5B66	1642	13144
Çﬁ	3080	1639	9312
è\	5341	1635	15677
è¨	5C0F	1610	15918
Ç—	3073	1577	9299
â∆	5BB6	1561	12872
ç°	4ECA	1558	14883
çë	56FD	1494	14705
Ç 	306C	1428	9292
ñ⁄	76EE	1427	19548
îN	5E74	1404	18223
ñ≥	7121	1324	19509
êÊ	5148	1312	16488
ï∑	805E	1310	19001
Éb	30C3	1307	9539
â]	4E91	1301	12606
Ç”	3075	1269	9301
ìñ	5F53	1252	17782
ìI	7684	1243	17706
ò_	8AD6	1240	20288
Ç¨	304E	1232	9262
å˚	53E3	1231	14461
ÉA	30A2	1221	9506
ÇÆ	3050	1215	9264
çá	5408	1214	14695
ìØ	540C	1204	17969
âÆ	5C4B	1184	12848
Éä	30EA	1164	9578
Ç‘	3076	1156	9302
é¿	5B9F	1151	15426
èä	6240	1148	15722
Éã	30EB	1138	9579
éù	6301	1133	15229
äÁ	9854	1121	13417
ì¸	5165	1106	18046
ìc	7530	1102	17732
ïs	4E0D	1098	18772
òb	8A71	1097	20291
à”	610F	1087	12373
ñæ	660E	1082	19520
ín	5730	1073	17231
í 	901A	1064	17484
Ég	30C8	1062	9544
ól	69D8	1054	19789
ÉC	30A4	1046	9508
å„	5F8C	1031	14437
ìx	5EA6	1028	17753
âÔ	4F1A	1017	12913
å¸	5411	1013	14462
éÂ	4E3B	1010	15463
ÉX	30B9	1004	9529
íj	7537	1001	17227
è≠	5C11	987	15919
éR	5C71	984	15155
êg	8EAB	983	16200
äO	5916	964	13104
Ç‰	3086	962	9318
å‹	4E94	953	14430
ëR	7136	952	16691
ä¥	611F	941	13366
åN	541B	928	14127
ë„	4EE3	927	16997
éÊ	53D6	923	15464
ï∂	6587	905	19000
èÍ	5834	904	15980
ñÏ	91CE	901	19566
å‰	5FA1	899	14438
ìπ	9053	893	17979
ñº	540D	892	19518
ê¢	4E16	885	16420
Éâ	30E9	883	9577
ñ 	9762	866	19532
çl	8003	863	14669
ñÂ	9580	850	19559
îh	6D3E	848	18249
èë	66F8	841	15729
êV	65B0	831	16183
ê∫	58F0	829	16444
î¸	7F8E	823	18558
îí	767D	821	18290
ìÆ	52D5	820	17968
óù	7406	818	19837
ê≠	653F	807	16431
ë´	8DB3	804	16941
ïó	98A8	794	18807
ëä	76F8	791	16746
ñÈ	591C	776	19563
Çº	305E	775	9278
ì‡	5185	770	18018
ëÃ	4F53	766	16974
èŒ	7B11	758	15952
çÇ	9AD8	756	14690
éü	6B21	746	15393
ãﬂ	8FD1	742	13921
êÿ	5207	737	16474
ï‡	6B69	730	19042
ãA	5E30	723	13602
ã‡	91D1	718	13922
ÉN	30AF	714	9519
ñØ	6C11	705	19505
óÕ	529B	693	20047
í∑	9577	692	17465
ÉJ	30AB	689	9515
ñ°	5473	682	19491
åé	6708	680	14190
êM	4FE1	674	16174
êF	8272	673	16167
âE	53F3	671	12582
ä·	773C	670	13411
ì™	982D	670	17964
éÄ	6B7B	669	15200
ñl	50D5	668	19277
à¯	5F15	661	12410
íÖ	7740	658	17253
êÖ	6C34	653	16229
óp	7528	646	19793
çÏ	4F5C	643	14958
ïî	90E8	641	18804
ï‘	8FD4	635	19030
êe	89AA	634	16198
ëS	5168	632	16692
éµ	4E03	625	15415
ó^	4E0E	621	19775
ëΩ	591A	617	16959
ï 	5225	616	19020
Ç⁄	307C	615	9308
Éç	30ED	615	9581
ê^	771F	615	16191
â‰	6211	611	12902
ÅI	FF01	609	8490
åÀ	6238	609	14413
ïΩ	5E73	606	19007
íB	9054	601	17187
ÅE	30FB	599	8486
êH	98DF	597	16169
åª	73FE	595	14397
Ç√	3065	594	9285
çD	597D	594	14629
çû	8FBC	593	14718
óé	843D	590	19822
î≠	767A	588	18479
ñÿ	6728	585	19546
èÓ	60C5	583	15984
ÉL	30AD	582	9517
ìV	5929	576	17719
î™	516B	576	18476
ê_	795E	575	16192
ëŒ	5BFE	575	16976
âq	885B	574	12626
Éh	30C9	572	9545
à·	9055	572	12387
èï	52A9	572	15733
É`	30C1	571	9537
à´	60AA	569	12333
ìæ	5F97	568	17984
ïÉ	7236	564	18787
òZ	516D	564	20283
Ç∫	305C	562	9276
íu	7F6E	559	17238
ÉE	30A6	557	9510
à»	4EE5	554	12362
ãN	8D77	553	13615
Åi	FF08	551	8522
Åj	FF09	550	8523
ê‡	8AAC	549	16482
äà	6D3B	545	13160
ÉV	30B7	544	9527
ç≈	6700	537	14919
ót	8449	537	19797
ÅH	FF1F	536	8489
ïœ	5909	535	19025
ã≥	6559	533	13877
ãv	4E45	531	13655
ã`	7FA9	528	13633
éd	4ED5	528	15173
ìå	6771	527	17772
âπ	97F3	526	12859
ãè	5C45	525	13679
í¨	753A	525	17454
în	99AC	520	18255
ëÊ	7B2C	518	17000
ê≥	6B63	509	16437
êÌ	6226	505	16495
é·	82E5	503	15459
óR	7531	503	19763
ñ‚	554F	499	19556
å√	53E4	490	14405
äo	899A	489	13136
å¥	539F	488	14390
îº	534A	488	18494
ñΩ	547D	488	19519
ã}	6025	485	13662
ãÛ	7A7A	479	13941
íº	76F4	477	17470
óL	6709	475	19757
êº	897F	474	16446
ó¨	6D41	473	20014
ïÍ	6BCD	472	19052
ã„	4E5D	471	13925
Çœ	3071	466	9297
Ét	30D5	466	9557
ét	5E2B	464	15189
é–	793E	464	15442
êŒ	77F3	464	16464
É}	30DE	463	9566
ñ@	6CD5	463	19233
ém	58EB	460	15182
ëz	60F3	459	16731
é‘	8ECA	457	15446
ç∂	5DE6	452	14904
îÚ	98DB	450	18548
åÍ	8A9E	446	14444
ê´	6027	444	16429
âì	9060	442	12659
óv	8981	441	19799
êî	6570	440	16244
ëÅ	65E9	440	16737
ëæ	592A	438	16960
ép	59FF	436	15185
ë“	5F85	427	16980
òA	9023	427	20258
à¿	5B89	426	12354
èÌ	5E38	422	15983
çL	5E83	420	14637
âﬂ	904E	419	12897
ñ∫	5A18	415	19516
ãÍ	82E6	414	13932
ë¢	9020	414	16932
âŒ	706B	413	12880
êi	9032	412	16202
í©	671D	412	17451
éÅ	6C0F	411	15201
äC	6D77	410	13092
ê·	96EA	408	16483
ë‰	53F0	407	16998
ãg	5409	406	13640
í£	5F35	406	17445
Éi	30CA	405	9546
åı	5149	405	14455
åã	7D50	404	14187
çï	9ED2	404	14709
É^	30BF	403	9535
å`	5F62	400	14145
ã≠	5F37	399	13871
ì«	8AAD	399	17993
âª	5316	397	12861
ìÀ	7A81	396	17997
ä÷	95A2	395	13400
ã{	5BAE	395	13660
êÏ	5DDD	394	16494
êÁ	5343	393	16489
çZ	6821	392	14651
ãû	4EAC	389	13694
ç◊	7D30	389	14937
â‘	82B1	388	12886
ÉÄ	30E0	387	9568
ÉI	30AA	382	9514
ç†	9803	382	14882
ÉB	30A3	381	9507
óF	53CB	381	19751
éE	6BBA	380	15142
ìô	7B49	380	17785
éc	6B8B	379	15172
ÉW	30B8	378	9528
ì`	4F1D	378	17729
ìy	571F	378	17754
ìﬂ	90A3	377	18017
åˆ	516C	376	14456
äp	89D2	375	13137
ëº	4ED6	374	16958
ññ	672B	374	19318
óò	5229	373	19832
ë≈	6253	372	16967
ê[	6DF1	371	16188
ë∫	6751	371	16956
îÑ	58F2	371	18276
ãü	4F9B	370	13857
ãc	8B70	369	13636
éÜ	7D19	368	15206
èd	91CD	368	15685
äE	754C	367	13094
íN	8AB0	367	17199
ê¬	9752	365	16452
ïa	75C5	365	18754
ïv	592B	363	18775
ïw	5A66	363	18776
ëê	8349	361	16752
èÊ	4E57	360	15976
èâ	521D	359	15721
íË	5B9A	357	17514
ãL	8A18	356	13613
î@	5982	356	18209
ïS	767E	356	18740
êQ	5BDD	354	16178
äÒ	5BC4	352	13427
ê\	7533	352	16189
ï\	8868	352	18749
å†	6A29	351	14370
é¸	5468	351	15486
à§	611B	350	12326
â	89E3	349	12914
éÌ	7A2E	349	15471
éx	652F	347	15193
çH	5DE5	346	14633
í≤	8ABF	346	17460
ÉR	30B3	345	9523
éÛ	53D7	345	15477
ã@	6A5F	344	13601
é∫	5BA4	344	15420
äJ	958B	342	13099
ë∂	5B58	341	16952
ïŸ	5F01	340	19035
ïK	5FC5	339	18732
îÉ	8CB7	338	18275
â™	5CA1	336	12844
ã∆	696D	335	13896
óm	6D0B	334	19790
äØ	5B98	333	13361
å≥	5143	332	14389
ïç	9644	330	18797
ã 	7389	329	13900
åà	6C7A	329	14184
éÒ	9996	329	15475
îΩ	53CD	329	18495
åƒ	547C	328	14406
î‘	756A	328	18518
é	9152	327	15474
ê¨	6210	327	16430
â°	6A2A	326	12835
äy	697D	326	13146
ä|	639B	326	13149
ÇÓ	3090	325	9328
à√	6697	325	12357
ê‘	8D64	324	16470
ì_	70B9	324	17728
ñú	4E07	324	19324
ã∞	6050	320	13874
åR	8ECD	319	14131
â^	904B	316	12607
îw	80CC	316	18264
òV	8001	313	20279
ã§	5171	311	13862
î”	6669	311	18517
 	20	310	32
ç›	5728	310	14943
èº	677E	310	15934
îH	79B0	310	18217
Éu	30D6	309	9558
ç]	6C5F	309	14654
é∏	5931	309	15418
Éå	30EC	308	9580
én	59CB	308	15183
ìá	5CF6	308	17767
ÉÉ	30E3	307	9571
êU	632F	307	16182
Éc	30C4	305	9540
ëà	4E89	304	16744
ó·	4F8B	304	20067
îO	5FF5	303	18224
à‰	4E95	300	12390
ìö	7B54	300	17786
ç€	969B	299	14941
èh	5BBF	298	15689
Ép	30D1	297	9553
é°	6CBB	297	15395
ëË	984C	297	17002
ñû	6E80	297	19326
Ée	30C6	296	9542
Én	30CF	295	9551
ç¿	5EA7	295	14914
ÉG	30A8	294	9512
åè	4EF6	289	14191
éÁ	5B88	288	15465
â¬	53EF	287	12868
âe	5F71	286	12614
íÈ	5E1D	286	17515
ñk	5317	286	19276
óº	4E21	286	20030
â 	679C	285	12876
åo	7D4C	285	14160
ï~	6577	283	18783
ï∫	5175	283	19004
à®	8475	282	12330
àŸ	7570	282	12379
ãé	53BB	281	13678
ñ]	671B	281	19262
ì≠	50CD	280	17967
ñ	5F79	280	19570
ã‚	9280	279	13924
ã¡	9A5A	276	13891
ç™	6839	275	14892
ó]	4F59	275	19774
ó£	96E2	275	20005
ëã	7A93	274	16747
ìX	5E97	272	17721
ég	4F7F	271	15176
ÉÑ	30E4	270	9572
èI	7D42	270	15658
ë±	7D9A	270	16947
íˆ	7A0B	270	17528
ìn	6E21	270	17743
òJ	52B4	270	20267
ê‚	7D76	269	16484
ì¡	7279	269	17987
èZ	4F4F	268	15675
î≤	629C	268	18484
ïû	670D	268	18814
ñŸ	9ED9	268	19547
à 	4F4D	267	12364
å|	82B8	267	14173
îV	4E4B	267	18231
ãπ	80F8	265	13883
íÎ	5EAD	265	17517
ïM	7B46	264	18734
Éî	30F4	263	9588
ìÔ	96E3	263	18033
ïi	54C1	263	18762
âÊ	753B	262	12904
Éo	30D0	260	9552
âˆ	602A	260	12920
à˘	98F2	259	12411
ë§	5074	258	16934
îÒ	975E	257	18547
ê®	52E2	256	16426
éö	5B57	255	15226
éõ	5BFA	254	15227
òa	548C	254	20290
âÙ	5EFB	253	12918
å	4EA4	253	14450
ï–	7247	253	19026
äK	968E	252	13100
ìs	90FD	252	17748
òH	8DEF	252	20265
âè	7E01	251	12655
â¡	52A0	251	12867
ík	8AC7	251	17228
ñY	5FD8	250	19258
ñ≠	5999	250	19503
èƒ	713C	249	15942
è¡	6D88	248	15939
ê‹	6298	248	16478
ït	4ED8	248	18773
éw	6307	247	15192
èà	51E6	247	15720
ê√	9759	246	16453
ìz	5974	246	17755
âÃ	6B4C	245	12878
èW	96C6	244	15672
ñ[	623F	244	19260
ñ¬	9CF4	244	19524
îª	5224	243	18493
îﬂ	60B2	242	18529
íÉ	8336	241	17251
î\	80FD	239	18237
åπ	6E90	238	14395
ëD	8239	238	16677
ëß	606F	238	16937
âü	62BC	237	12833
ç~	964D	237	14687
âù	5F80	236	12669
â»	79D1	236	12874
ñ≤	5922	236	19508
ÉÇ	30E2	235	9570
çK	5E78	235	14636
îz	914D	235	18267
ä˙	671F	234	13436
éä	81F3	233	15210
ì¶	9003	233	17960
îñ	8584	233	18294
ï€	4FDD	233	19037
Éf	30C7	232	9543
âú	5965	232	12668
åv	8A08	232	14167
ëm	50E7	232	16718
ïê	6B66	231	18800
‚ƒ	7C60	231	25670
éØ	8B58	230	15409
ï˙	653E	229	19068
Éj	30CB	228	9547
í«	8FFD	228	17481
ã…	6975	226	13899
èÛ	72B6	226	15989
îM	71B1	226	18222
ëñ	8D70	225	16758
Év	30D7	224	9559
âz	8D8A	224	12635
åå	8840	223	14188
íi	6BB5	223	17226
çò	8170	221	14712
óﬁ	985E	221	20064
Éx	30D9	220	9561
ìd	96FB	220	17733
óV	904A	220	19767
âå	7159	219	12652
äG	7D75	219	13096
åW	4FC2	219	14136
é~	6B62	219	15199
êÅ	5439	219	16225
ê∏	7CBE	219	16442
äi	683C	218	13130
äœ	89B3	217	13393
ëó	9001	217	16759
ë‘	614B	217	16982
ï@	9F3B	216	18721
ïÇ	6D6E	216	18786
å»	5DF1	215	14410
íJ	8C37	215	17195
ñî	53C8	215	19316
â~	5186	214	12639
åx	8B66	214	14169
î∆	72AF	214	18504
ÉT	30B5	213	9525
ãÂ	53E5	213	13927
é®	8033	213	15402
ë¥	5176	213	16950
ÉF	30A7	212	9511
óØ	7559	212	20017
óÀ	9675	212	20045
É_	30C0	211	9536
ã^	7591	211	13631
í[	7AEF	211	17212
âƒ	590F	210	12870
äm	78BA	209	13134
éó	4F3C	209	15223
êß	5236	209	16425
ó¢	91CC	209	20004
âB	96A0	208	12579
ç¢	56F0	208	14884
âı	5FEB	207	12919
ãÜ	7A76	207	13670
çœ	6E08	207	14929
à◊	70BA	206	12377
ó[	5915	206	19772
èt	6625	204	15701
íP	5358	204	17201
ó\	4E88	204	19773
ÉO	30B0	203	9520
óä	983C	203	19818
ó†	88CF	203	20002
àı	54E1	202	12407
ãM	8CB4	202	13614
éY	7523	202	15162
ìï	71C8	202	17781
ìÏ	5357	202	18030
É\	30BD	201	9533
ìS	9244	201	17716
ï¿	4E26	201	19010
ñà	6BCE	201	19304
åy	8EFD	200	14170
é@	5BDF	200	15137
éQ	53C2	200	15154
éø	8CEA	200	15425
àΩ	6216	198	12351
íf	65AD	198	17223
ãÅ	6C42	197	13665
çú	9AA8	197	14716
éj	53F2	197	15179
ì˜	8089	197	18041
å¿	9650	196	14402
ç∑	5DEE	196	14905
ïƒ	7C73	196	19014
Å¶	203B	195	8744
åÃ	6545	195	14414
ëg	7D44	195	16712
ó∑	65C5	195	20025
ó‚	51B7	195	20068
É|	30DD	194	9565
ÉK	30AC	193	9516
ãÉ	6CE3	193	13667
èÈ	57CE	193	15979
íç	6CE8	193	17261
ï”	8FBA	193	19029
è§	5546	192	15910
î˜	5FAE	192	18553
ãq	5BA2	191	13650
ãª	8208	191	13885
ìr	9014	191	17747
óÁ	793C	191	20073
îé	535A	190	18286
ñV	574A	188	19255
êÃ	6614	187	16462
îj	7834	187	18251
ï†	8179	187	18978
óe	5BB9	187	19782
ó«	826F	187	20041
Ç€	307D	186	9309
è]	5F93	186	15678
äÙ	5E7E	185	13430
åF	718A	185	14119
éã	8996	185	15211
ìG	6575	185	17704
å§	7814	184	14374
çè	523B	184	14703
Éá	30E7	183	9575
àÕ	56F2	183	12367
â¸	6539	183	12926
çﬂ	7F6A	183	14945
èH	79CB	183	15657
ê¸	7DDA	183	16510
ïÈ	66AE	183	19051
e	65	182	101
ÅT	309D	182	8501
éU	6563	182	15158
èü	52DD	182	15905
ï|	6016	182	18781
çu	8B1B	181	14678
éG	96D1	181	15144
ê}	56F3	181	16222
íÍ	5E95	181	17516
É{	30DC	180	9564
â@	9662	180	12577
ä£	4E7E	180	13349
çê	544A	180	14704
í√	6D25	180	17477
ì∆	72EC	180	17992
îF	8A8D	180	18215
ä™	5DFB	179	13356
ëf	7D20	179	16711
ÉP	30B1	178	9521
åö	5EFA	178	14202
èp	8853	178	15697
ír	6C60	178	17235
ì|	5012	178	17757
ìä	6295	178	17770
ï{	5E9C	178	18780
å®	80A9	177	14378
ê¥	6E05	177	16438
ïë	821E	177	18801
íö	4E01	176	17274
äX	8857	175	13113
ãñ	8A31	175	13686
ã©	53EB	175	13867
äË	9858	173	13418
êﬂ	7BC0	173	16481
óõ	674E	173	19835
Éy	30DA	172	9562
âû	5FDC	172	12670
íπ	9CE5	172	17467
îØ	9AEA	172	18481
ê»	5E2D	171	16458
és	5E02	170	15188
ï¯	62B1	170	19066
ñ—	6BDB	170	19539
ÉÅ	30E1	169	9569
à…	4F0A	169	12363
â_	96F2	169	12608
ëﬁ	9000	169	16992
íc	56E3	169	17220
èO	8846	168	15664
ëú	50CF	168	16764
ïÒ	5831	168	19059
É~	30DF	167	9567
åi	666F	167	14154
ó◊	96A3	167	20057
à„	533B	166	12389
ç‚	5742	166	14948
òr	8155	166	20307
Éè	30EF	165	9583
ïü	798F	165	18977
ë†	8535	164	16930
óê	4E71	164	19824
àƒ	6848	163	12358
âJ	96E8	163	12587
ã¬	4EF0	163	13892
èB	5DDE	163	15651
ë—	5E2F	163	16979
ëÏ	5353	163	17006
îC	4EFB	163	18212
ÉZ	30BB	162	9531
Ém	30CE	162	9550
ì°	85E4	162	17955
ïx	5BCC	162	18777
âH	7FBD	161	12585
äÔ	5947	161	13425
é}	679D	161	15198
ê’	8DE1	161	16471
íT	63A2	161	17205
ìí	6E6F	161	17778
ïâ	8CA0	161	18793
òI	9732	161	20266
Éq	30D2	160	9554
èî	8AF8	159	15732
ó—	6797	159	20051
âÒ	56DE	158	12915
å·	543E	158	14435
ç\	69CB	158	14653
èK	7FD2	158	15660
ñ¿	8FF7	158	19522
è∞	5E8A	157	15922
És	30D4	156	9556
äF	7686	156	13095
ãx	4F11	156	13657
î‰	6BD4	156	18534
ï`	63CF	156	18753
í≠	773A	155	17455
óø	6599	155	20033
àﬂ	8863	154	12385
ã¥	6A4B	154	13878
ãÔ	5177	154	13937
èè	7DD2	154	15727
ëI	9078	154	16682
ì]	8EE2	154	17726
â§	738B	152	12838
éÿ	501F	152	15450
è€	8C61	152	15965
ëõ	9A12	152	16763
í·	4F4E	152	17507
ï«	58C1	152	19017
ÉY	30BA	151	9530
äø	6F22	151	13377
ñ¢	672A	151	19492
Él	30CD	150	9549
äÌ	5668	150	13423
åä	7A74	150	14186
éu	5FD7	150	15190
êE	8077	150	16166
ñá	679A	150	19303
Ç„	3085	149	9317
ã»	66F2	149	13898
ì≈	6BD2	149	17991
î¬	677F	149	18500
ë∞	65CF	148	16946
ä¶	5BD2	147	13352
ãã	7D66	147	13675
ìø	5FB3	147	17985
é≠	9E7F	146	15407
íl	5024	146	17229
í…	75DB	146	17483
ä€	4E38	145	13405
çü	6B64	145	14881
ñÒ	7D04	145	19571
åô	5ACC	144	14201
èÿ	8A3C	144	15962
ÉM	30AE	143	9518
é 	5199	143	15436
ì}	515A	143	17758
àß	9022	142	12329
ãø	97FF	142	13889
å≠	9063	142	14383
í|	7AF9	142	17245
àÁ	80B2	141	12393
âó	65BC	141	12663
ë©	675F	141	16939
éÆ	5F0F	140	15408
è´	5C06	140	15917
à⁄	79FB	139	12380
äv	9769	139	13143
ãâ	7D1A	139	13673
éò	4F8D	139	15224
ìa	6BBF	139	17730
åÛ	5019	138	14453
êq	5C0B	138	16210
ñﬂ	623B	138	19553
äÏ	559C	137	13422
å±	9A13	137	14387
å¬	500B	137	14404
